Date,Open,High,Low,Close,Adj Close,Volume,Pivot_1,Pivot_2,Pivot_3,Pivot_4,Pivot_5,feature_rsi,feature_vwap,feature_ema,feature_atr
2022-01-13 09:30:00,36312.48828125,36478.4296875,36312.48828125,36437.6015625,36437.6015625,0,0,0,0,0,0,63.25972443291978,36374.715689933444,36263.858668638204,127.01032366071429
2022-01-13 10:30:00,36437.51953125,36488.8515625,36355.3984375,36487.80859375,36487.80859375,43685082,0,0,0,0,0,65.50384081100883,36376.18188661686,36273.59782430166,119.66685267857143
2022-01-13 11:30:00,36485.91015625,36513.87890625,36243.69921875,36298.21875,36298.21875,37968452,0,0,1,1,1,52.33532138521556,36375.74404599226,36274.66398638197,129.51116071428572
2022-01-13 12:30:00,36298.01171875,36371.19140625,36242.55078125,36362.390625,36362.390625,33571175,0,0,0,0,-1,55.629045190134626,36374.952606064755,36278.44735647198,130.70033482142858
2022-01-13 13:30:00,36362.23828125,36401.08984375,36305.328125,36311.08984375,36311.08984375,27569675,0,0,0,0,1,52.467161504019224,36374.496722328666,36279.84963832604,133.27762276785714
2022-01-13 14:30:00,36310.9296875,36311.41015625,36165.3203125,36207.8203125,36207.8203125,37656504,0,0,0,0,0,46.6449771087066,36371.994230645556,36276.766884504344,136.39704241071428
2022-01-13 15:30:00,36208.26171875,36229.41015625,36044.21875,36128.08984375,36128.08984375,55202876,0,0,0,0,0,42.658035203566165,36366.17060280891,36270.42643355033,143.80998883928572
2022-01-14 09:30:00,35996.4296875,35996.4296875,35702.98046875,35861.4609375,35861.4609375,0,0,0,0,0,-1,32.51816264339317,36366.17060280891,36253.04539277413,159.63002232142858
2022-01-14 10:30:00,35861.76953125,35890.26171875,35721.55859375,35771.91015625,35771.91015625,47874821,0,0,0,0,0,29.912958690654108,36354.29726647853,36232.664075756016,157.14006696428572
2022-01-14 11:30:00,35772.109375,35889.83984375,35750.91015625,35811.98828125,35811.98828125,36427625,0,0,0,0,1,32.551211797931245,36345.946152154014,36214.89974697441,161.03487723214286
2022-01-14 12:30:00,35809.71875,35843.08984375,35641.48828125,35685.98828125,35685.98828125,33299992,0,0,0,-1,-1,28.829311669700658,36337.21715663571,36192.63191356608,169.55217633928572
2022-01-14 13:30:00,35685.73046875,35792.23828125,35669.0390625,35716.55078125,35716.55078125,31786256,0,0,0,0,0,30.91938088148015,36329.14231110645,36172.64597387445,171.02566964285714
2022-01-14 14:30:00,35716.1015625,35872.94921875,35713.1484375,35828.55859375,35828.55859375,36220543,0,0,0,0,0,38.17794831067085,36321.36787080548,36158.240968384926,176.55217633928572
2022-01-14 15:30:00,35830.578125,35935.28125,35830.578125,35905.19140625,35905.19140625,51234396,0,0,0,1,1,42.67371248423974,36312.512414518256,36147.67519040527,176.0859375
2022-01-18 09:30:00,35661.76171875,35661.76171875,35324.55078125,35407.640625,35407.640625,0,0,0,0,0,0,28.16605398366015,36312.512414518256,36116.854170347724,204.57310267857142
2022-01-18 10:30:00,35407.51171875,35438.578125,35337.828125,35402.33984375,35402.33984375,45602215,0,0,0,0,0,28.055202544350877,36295.997829854685,36087.168227234506,202.23716517857142
2022-01-18 11:30:00,35401.51953125,35453.71875,35318.2109375,35335.828125,35335.828125,40108525,0,0,0,0,0,26.621075030609234,36281.587460668496,36056.024888383916,192.61774553571428
2022-01-18 12:30:00,35334.76953125,35367.69140625,35262.01953125,35329.41015625,35329.41015625,35314667,0,0,0,0,-1,26.47859392808168,36268.596277703335,36025.97358143172,190.97712053571428
2022-01-18 13:30:00,35329.2890625,35446.94140625,35312.62890625,35428.62109375,35428.62109375,33206398,0,0,0,0,0,32.565085244602955,36257.65431643451,36001.32111038752,193.73074776785714
